Hora,Corrente_A,SOH_Pct,Capacity_Ah,SoC_Pct
0,25.0,80.0,80.0,100.0
1,25.0,80.0,80.0,100.0
2,25.0,80.0,80.0,100.0
3,25.0,80.0,80.0,100.0
4,25.0,80.0,80.0,100.0
5,25.0,80.0,80.0,100.0
6,25.0,80.0,80.0,100.0
7,25.0,80.0,80.0,100.0
8,-25.0,80.0,80.0,68.75
9,-25.0,80.0,80.0,37.5
10,-25.0,80.0,80.0,6.25
11,-25.0,80.0,80.0,0.0
12,-25.0,80.0,80.0,0.0
13,-25.0,80.0,80.0,0.0
14,-25.0,80.0,80.0,0.0
15,-25.0,80.0,80.0,0.0
16,-25.0,80.0,80.0,0.0
17,-25.0,80.0,80.0,0.0
18,-25.0,80.0,80.0,0.0
19,-25.0,80.0,80.0,0.0
20,25.0,80.0,80.0,31.25
21,25.0,80.0,80.0,62.5
22,25.0,80.0,80.0,93.75
23,25.0,79.88,79.88,100.0
24,25.0,79.88,79.88,100.0
25,25.0,79.88,79.88,100.0
26,25.0,79.88,79.88,100.0
27,25.0,79.88,79.88,100.0
28,25.0,79.88,79.88,100.0
29,25.0,79.88,79.88,100.0
30,25.0,79.88,79.88,100.0
31,25.0,79.88,79.88,100.0
32,-25.0,79.88,79.88,68.7030545818728
33,-25.0,79.88,79.88,37.40610916374561
34,-25.0,79.88,79.88,6.109163745618421
35,-25.0,79.88,79.88,0.0
36,-25.0,79.88,79.88,0.0
37,-25.0,79.88,79.88,0.0
38,-25.0,79.88,79.88,0.0
39,-25.0,79.88,79.88,0.0
40,-25.0,79.88,79.88,0.0
41,-25.0,79.88,79.88,0.0
42,-25.0,79.88,79.88,0.0
43,-25.0,79.88,79.88,0.0
44,25.0,79.88,79.88,31.29694541812719
45,25.0,79.88,79.88,62.59389083625438
46,25.0,79.88,79.88,93.89083625438157
47,25.0,79.75999999999999,79.75999999999999,100.0
48,25.0,79.75999999999999,79.75999999999999,100.0
49,25.0,79.75999999999999,79.75999999999999,100.0
50,25.0,79.75999999999999,79.75999999999999,100.0
51,25.0,79.75999999999999,79.75999999999999,100.0
52,25.0,79.75999999999999,79.75999999999999,100.0
53,25.0,79.75999999999999,79.75999999999999,100.0
54,25.0,79.75999999999999,79.75999999999999,100.0
55,25.0,79.75999999999999,79.75999999999999,100.0
56,-25.0,79.75999999999999,79.75999999999999,68.65596790371113
57,-25.0,79.75999999999999,79.75999999999999,37.31193580742226
58,-25.0,79.75999999999999,79.75999999999999,5.967903711133388
59,-25.0,79.75999999999999,79.75999999999999,0.0
60,-25.0,79.75999999999999,79.75999999999999,0.0
61,-25.0,79.75999999999999,79.75999999999999,0.0
62,-25.0,79.75999999999999,79.75999999999999,0.0
63,-25.0,79.75999999999999,79.75999999999999,0.0
64,-25.0,79.75999999999999,79.75999999999999,0.0
65,-25.0,79.75999999999999,79.75999999999999,0.0
66,-25.0,79.75999999999999,79.75999999999999,0.0
67,-25.0,79.75999999999999,79.75999999999999,0.0
68,25.0,79.75999999999999,79.75999999999999,31.34403209628887
69,25.0,79.75999999999999,79.75999999999999,62.68806419257774
70,25.0,79.75999999999999,79.75999999999999,94.03209628886661
71,25.0,79.75999999999999,79.75999999999999,100.0
72,25.0,79.75999999999999,79.75999999999999,100.0
73,25.0,79.75999999999999,79.75999999999999,100.0
74,25.0,79.75999999999999,79.75999999999999,100.0
75,25.0,79.75999999999999,79.75999999999999,100.0
76,25.0,79.75999999999999,79.75999999999999,100.0
77,25.0,79.75999999999999,79.75999999999999,100.0
78,25.0,79.75999999999999,79.75999999999999,100.0
79,25.0,79.75999999999999,79.75999999999999,100.0
