Hora,Potencia_KW,SOH_Pct,Capacity_kWh,SoC_Pct
0,0.0,60.00000000000001,23.28,100.0
1,0.0,60.00000000000001,23.28,100.0
2,0.0,60.00000000000001,23.28,100.0
3,0.0,60.00000000000001,23.28,100.0
4,0.0,60.00000000000001,23.28,100.0
5,0.0,60.00000000000001,23.28,100.0
6,0.0,60.00000000000001,23.28,100.0
7,0.0,60.00000000000001,23.28,100.0
8,0.0,60.00000000000001,23.28,100.0
9,0.0,60.00000000000001,23.28,100.0
10,1.455,60.00000000000001,23.28,100.0
11,1.455,60.00000000000001,23.28,100.0
12,1.455,60.00000000000001,23.28,100.0
13,1.455,60.00000000000001,23.28,100.0
14,0.0,60.00000000000001,23.28,100.0
15,0.0,60.00000000000001,23.28,100.0
16,0.0,60.00000000000001,23.28,100.0
17,0.0,60.00000000000001,23.28,100.0
18,-1.455,60.00000000000001,23.28,93.75
19,-1.455,60.00000000000001,23.28,87.5
20,-1.455,60.00000000000001,23.28,81.25
21,-1.455,60.00000000000001,23.28,75.0
22,0.0,60.00000000000001,23.28,75.0
23,0.0,60.00000000000001,23.28,75.0
24,0.0,60.00000000000001,23.28,75.0
25,0.0,60.00000000000001,23.28,75.0
26,0.0,60.00000000000001,23.28,75.0
27,0.0,60.00000000000001,23.28,75.0
28,0.0,60.00000000000001,23.28,75.0
29,0.0,60.00000000000001,23.28,75.0
30,0.0,60.00000000000001,23.28,75.0
31,0.0,60.00000000000001,23.28,75.0
32,0.0,60.00000000000001,23.28,75.0
33,0.0,60.00000000000001,23.28,75.0
34,1.455,60.00000000000001,23.28,81.25
35,1.455,60.00000000000001,23.28,87.5
36,1.455,60.00000000000001,23.28,93.75
37,1.455,60.00000000000001,23.28,100.0
38,0.0,60.00000000000001,23.28,100.0
39,0.0,60.00000000000001,23.28,100.0
40,0.0,60.00000000000001,23.28,100.0
41,0.0,60.00000000000001,23.28,100.0
42,-1.455,60.00000000000001,23.28,93.75
43,-1.455,60.00000000000001,23.28,87.5
44,-1.455,60.00000000000001,23.28,81.25
45,-1.455,60.00000000000001,23.28,75.0
46,0.0,60.00000000000001,23.28,75.0
47,0.0,60.00000000000001,23.28,75.0
48,0.0,60.00000000000001,23.28,75.0
49,0.0,60.00000000000001,23.28,75.0
50,0.0,60.00000000000001,23.28,75.0
51,0.0,60.00000000000001,23.28,75.0
52,0.0,60.00000000000001,23.28,75.0
53,0.0,60.00000000000001,23.28,75.0
54,0.0,60.00000000000001,23.28,75.0
55,0.0,60.00000000000001,23.28,75.0
56,0.0,60.00000000000001,23.28,75.0
57,0.0,60.00000000000001,23.28,75.0
58,1.455,60.00000000000001,23.28,81.25
59,1.455,60.00000000000001,23.28,87.5
60,1.455,60.00000000000001,23.28,93.75
61,1.455,60.00000000000001,23.28,100.0
62,0.0,60.00000000000001,23.28,100.0
63,0.0,60.00000000000001,23.28,100.0
64,0.0,60.00000000000001,23.28,100.0
65,0.0,60.00000000000001,23.28,100.0
66,-1.455,60.00000000000001,23.28,93.75
67,-1.455,60.00000000000001,23.28,87.5
68,-1.455,60.00000000000001,23.28,81.25
69,-1.455,60.00000000000001,23.28,75.0
70,0.0,60.00000000000001,23.28,75.0
